name,nameraw
Sona,Sona
Leftwing & Kody,Leftwing & Kody
Siân Owen,Siân Owen
CAMELPHAT,CAMELPHAT
ARTBAT,ARTBAT
Gorgon City,Gorgon City
Ferreck Dawn,Ferreck Dawn
Jansons,Jansons
Todd Edwards,Todd Edwards
D.O.D.,D.O.D.
Beyond Chicago,Beyond Chicago
Joe Wilson,Joe Wilson
Fletcher Kerr,Fletcher Kerr
Mariano,Mariano
Ross Brown,Ross Brown
Craig David,Craig David
Wes Nelson,Wes Nelson
Matchstick,Matchstick
DJ Tennis,DJ Tennis
Ageless,Ageless
Binyamhn B2B Mitch,Binyamhn B2B Mitch 
Burnski B2B Kepler,Burnski B2B Kepler
Reiss B2B Casey Spillman,Reiss B2B Casey Spillman
Ben Nicky,Ben Nicky
David Rust,David Rust
Symmetrik,Symmetrik
Martin Solveig,Martin Solveig
Riton,Riton
Keshia G,Keshia G
Sven Väth,Sven Väth
Maurizio Schmitz,Maurizio Schmitz
Andy Baxter,Andy Baxter
Anna Tur B2B Tini Gessler,Anna Tur B2B Tini Gessler
Cuartero,Cuartero
Jesse Calosso B2B Jean Pierre,Jesse Calosso B2B Jean Pierre
Paul Woolford,Paul Woolford 
DJ Hyperdrive,DJ Hyperdrive
future.666,future.666
Slin,Slin
ÜBERKIKZ,ÜBERKIKZ
Hernán Cattáneo,Hernán Cattáneo
Line Up/ TBA,Line Up/ TBA
Bekzin Terris,Bekzin Terris
Nick Morgan,Nick Morgan
Floyd Lavine,Floyd Lavine
Alisha,Alisha
De La Swing,De La Swing
Denis Sulta,Denis Sulta
Marc Maya,Marc Maya
Mau P,Mau P (all night long)
Julia Sandstorm,Julia Sandstorm
Maribou State,Maribou State
Andrea Oliva B2B Arodes,Andrea Oliva B2B Arodes
Salomé Le Chat,Salomé Le Chat
Jaden Thompson,Jaden Thompson
Sirius Hood,Sirius Hood
Tion Wayne,Tion Wayne (live PA)
Hernandez,Hernandez
Teddy O,Teddy O
Hyzteria,Hyzteria
A/Z,A/Z
Northside Rhythm,Northside Rhythm
Tadgh,Tadgh
Mansion DJs,Mansion DJs
Mark Knight,Mark Knight
Anton Powers,Anton Powers
Bellaire,Bellaire
Breakbot & Farfane,Breakbot & Farfane
Alan Dixon,Alan Dixon
Girls Of The Internet,Girls Of The Internet (DJ set)
Cody Currie,Cody Currie
Ruby Savage,Ruby Savage
Enzo Is Burning,Enzo Is Burning
Larry London,Larry London
Will Taylor,Will Taylor
Jodie V,Jodie V
Leon Eales,Leon Eales
Guy D Angelo,Guy D Angelo
Kenzie,Kenzie
Alex Serra,Alex Serra (with Totidub) (live)
Cris 44,Cris 44
Jam Blomqvist,Jam Blomqvist (live)
Yamil,Yamil
Jo.ke & Ulises,Jo.ke & Ulises
Dangel Twins,Dangel Twins
Echonomist,Echonomist
Moeaike,Moeaike
Diplo,Diplo
Kaz James,Kaz James
Cole Knight,Cole Knight
TCTS,TCTS
Sam Green,Sam Green
Sam Divine,Sam Divine
Darius Syrossian,Darius Syrossian
Shermanology,Shermanology
Prunk,Prunk
Dunmore Brothers,Dunmore Brothers
Cho$en,Cho$en
Jeremiah Asiamah,Jeremiah Asiamah
Miluhska,Miluhska
Afrojack,Afrojack
Bad Wolf,Bad Wolf
Alci,Alci
Felipe Bravo,Felipe Bravo
Locky B2B MADVILLA,Locky B2B MADVILLA
S.A.M.,S.A.M.
Badger,Badger
Flava D,Flava D
Woody Cook,Woody Cook
Cunning MC,Cunning MC
Emily Nash,Emily Nash
LOVRA,LOVRA
Topic,Topic
Binary Finary,Binary Finary
Sola. Sounds,Sola. Sounds
Meduza,Meduza 
James Hype,James Hype
Lanna,Lanna
Davide Squillace,Davide Squillace
Calvin Harris,Calvin Harris
MK (Marc Kinchen),MK (Marc Kinchen)
Bontan,Bontan 
Gaidukova,Gaidukova
Maga,Maga
Mёstiza,Mёstiza
Sasha,Sasha 
Black Asteroid,Black Asteroid
Choronzon,Choronzon
Soft Clash,Soft Clash (Pablo Bozzi x Phase Fatale)
Ellie Sax,Ellie Sax
DJ Fresh,DJ Fresh (BW)
Patrick Mason (House set),Patrick Mason (House set)
Tony Y Not,Tony Y Not
Bastian Bux,Bastian Bux
A-Trak,A-Trak (all night long)
Nicole Moudaber,Nicole Moudaber
Classmatic,Classmatic
Eli & Fur,Eli & Fur
Jam-R,Jam-R
AND-J,AND-J
Pukka Up DJs,Pukka Up DJs
Inner City,Inner City (DJ set)
Luke Solomon,Luke Solomon
Coco & Breezy,Coco & Breezy
Minna,Minna
Blondi,Blondi
Latmun,Latmun
L.P. Rhythm,L.P. Rhythm
Alex Ellenger,Alex Ellenger
Sacha PVJ,Sacha PVJ
Lee Morrison,Lee Morrison
Adam Wilson,Adam Wilson
Darren B2B Ronny,Darren B2B Ronny
Fahlberg,Fahlberg
Liva K,Liva K
Ben Hemsley,Ben Hemsley
Hannah Laing,Hannah Laing (special guest)
Ammara,Ammara
Ty Gill,Ty Gill
David Guetta,David Guetta
Luude,Luude
Radio 1 Dance DJs,Radio 1 Dance DJs
Loéca,Loéca
Saint,Saint
Baby Marcelo,Baby Marcelo
La Troya Family,La Troya Family
Fideles,Fideles
Mila Journée,Mila Journée
Eats Everything,Eats Everything
Sam Divine B2B Melé B2B Monki,Sam Divine B2B Melé B2B Monki
Mambo Brothers,Mambo Brothers
Rio Tashan B2B Olive F,Rio Tashan B2B Olive F
blk.,blk.
Black Traffic,Black Traffic
Reboot DJs,Reboot DJs 
Matt Jam Lamont,Matt Jam Lamont
FISHER,FISHER
Vintage Culture,Vintage Culture
Joseph Capriati,Joseph Capriati
Kemikal Ali,Kemikal Ali
Benny Rodrigues,Benny Rodrigues
Cher Semain,Cher Semain
